Target: http://creative.thm/
Total requests: 114442
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00001:  C=301      7 L	      12 W	    178 Ch	  "www"
00003:  C=301      7 L	      12 W	    178 Ch	  "ftp"
00007:  C=301      7 L	      12 W	    178 Ch	  "webdisk"
00015:  C=301      7 L	      12 W	    178 Ch	  "ns"
00031:  C=301      7 L	      12 W	    178 Ch	  "mobile"
00050:  C=301      7 L	      12 W	    178 Ch	  "wiki"
00046:  C=301      7 L	      12 W	    178 Ch	  "img"
00048:  C=301      7 L	      12 W	    178 Ch	  "portal"
00047:  C=301      7 L	      12 W	    178 Ch	  "news"
00049:  C=301      7 L	      12 W	    178 Ch	  "server"
00045:  C=301      7 L	      12 W	    178 Ch	  "www1"
00044:  C=301      7 L	      12 W	    178 Ch	  "web"
00043:  C=301      7 L	      12 W	    178 Ch	  "lists"
00040:  C=301      7 L	      12 W	    178 Ch	  "ns4"
00039:  C=301      7 L	      12 W	    178 Ch	  "dns2"
00041:  C=301      7 L	      12 W	    178 Ch	  "dns1"
00038:  C=301      7 L	      12 W	    178 Ch	  "demo"
00042:  C=301      7 L	      12 W	    178 Ch	  "static"
00037:  C=301      7 L	      12 W	    178 Ch	  "shop"
00036:  C=301      7 L	      12 W	    178 Ch	  "secure"
00035:  C=301      7 L	      12 W	    178 Ch	  "cp"
00034:  C=301      7 L	      12 W	    178 Ch	  "support"
00027:  C=301      7 L	      12 W	    178 Ch	  "mx"
00029:  C=301      7 L	      12 W	    178 Ch	  "old"
00030:  C=301      7 L	      12 W	    178 Ch	  "new"
00028:  C=301      7 L	      12 W	    178 Ch	  "imap"
00032:  C=301      7 L	      12 W	    178 Ch	  "mysql"
00033:  C=200     19 L	      66 W	    591 Ch	  "beta"
00026:  C=301      7 L	      12 W	    178 Ch	  "vpn"
00022:  C=301      7 L	      12 W	    178 Ch	  "pop3"
00021:  C=301      7 L	      12 W	    178 Ch	  "ns3"
00018:  C=301      7 L	      12 W	    178 Ch	  "blog"
00025:  C=301      7 L	      12 W	    178 Ch	  "mail2"
00024:  C=301      7 L	      12 W	    178 Ch	  "admin"
00019:  C=301      7 L	      12 W	    178 Ch	  "dev"
00020:  C=301      7 L	      12 W	    178 Ch	  "www2"
00023:  C=301      7 L	      12 W	    178 Ch	  "forum"
00017:  C=301      7 L	      12 W	    178 Ch	  "m"
00014:  C=301      7 L	      12 W	    178 Ch	  "autoconfig"
00016:  C=301      7 L	      12 W	    178 Ch	  "test"
00013:  C=301      7 L	      12 W	    178 Ch	  "autodiscover"
00006:  C=301      7 L	      12 W	    178 Ch	  "smtp"
00010:  C=301      7 L	      12 W	    178 Ch	  "whm"
00012:  C=301      7 L	      12 W	    178 Ch	  "ns2"
00009:  C=301      7 L	      12 W	    178 Ch	  "cpanel"
00011:  C=301      7 L	      12 W	    178 Ch	  "ns1"
00008:  C=301      7 L	      12 W	    178 Ch	  "pop"
00005:  C=301      7 L	      12 W	    178 Ch	  "webmail"
00002:  C=301      7 L	      12 W	    178 Ch	  "mail"
00004:  C=301      7 L	      12 W	    178 Ch	  "localhost"
00051:  C=301      7 L	      12 W	    178 Ch	  "api"
00065:  C=301      7 L	      12 W	    178 Ch	  "mx1"
00053:  C=301      7 L	      12 W	    178 Ch	  "images"
00081:  C=301      7 L	      12 W	    178 Ch	  "store"
00057:  C=301      7 L	      12 W	    178 Ch	  "sql"
00091:  C=301      7 L	      12 W	    178 Ch	  "forums"
00090:  C=301      7 L	      12 W	    178 Ch	  "mail3"
00089:  C=301      7 L	      12 W	    178 Ch	  "exchange"
00088:  C=301      7 L	      12 W	    178 Ch	  "dns3"
00083:  C=301      7 L	      12 W	    178 Ch	  "download"
00085:  C=301      7 L	      12 W	    178 Ch	  "www.dev"
00087:  C=301      7 L	      12 W	    178 Ch	  "apps"
00084:  C=301      7 L	      12 W	    178 Ch	  "proxy"
00086:  C=301      7 L	      12 W	    178 Ch	  "mssql"
00080:  C=301      7 L	      12 W	    178 Ch	  "svn"
00082:  C=301      7 L	      12 W	    178 Ch	  "cms"
00079:  C=301      7 L	      12 W	    178 Ch	  "wap"
00078:  C=301      7 L	      12 W	    178 Ch	  "my"
00073:  C=301      7 L	      12 W	    178 Ch	  "mx2"
00075:  C=301      7 L	      12 W	    178 Ch	  "ipv4"
00077:  C=301      7 L	      12 W	    178 Ch	  "email"
00074:  C=301      7 L	      12 W	    178 Ch	  "ads"
00076:  C=301      7 L	      12 W	    178 Ch	  "remote"
00072:  C=301      7 L	      12 W	    178 Ch	  "crm"
00071:  C=301      7 L	      12 W	    178 Ch	  "search"
00070:  C=301      7 L	      12 W	    178 Ch	  "chat"
00069:  C=301      7 L	      12 W	    178 Ch	  "sip"
00068:  C=301      7 L	      12 W	    178 Ch	  "www.m"
00066:  C=301      7 L	      12 W	    178 Ch	  "www3"
00067:  C=301      7 L	      12 W	    178 Ch	  "staging"
00063:  C=301      7 L	      12 W	    178 Ch	  "video"
00064:  C=301      7 L	      12 W	    178 Ch	  "mail1"
00062:  C=301      7 L	      12 W	    178 Ch	  "host"
00052:  C=301      7 L	      12 W	    178 Ch	  "media"
00056:  C=301      7 L	      12 W	    178 Ch	  "dns"
00092:  C=301      7 L	      12 W	    178 Ch	  "ns5"
00060:  C=301      7 L	      12 W	    178 Ch	  "www.test"
00058:  C=301      7 L	      12 W	    178 Ch	  "intranet"
00054:  C=301      7 L	      12 W	    178 Ch	  "www.blog"
00061:  C=301      7 L	      12 W	    178 Ch	  "stats"
00055:  C=301      7 L	      12 W	    178 Ch	  "backup"
00059:  C=301      7 L	      12 W	    178 Ch	  "www.forum"
00094:  C=301      7 L	      12 W	    178 Ch	  "office"
00098:  C=301      7 L	      12 W	    178 Ch	  "owa"
00106:  C=301      7 L	      12 W	    178 Ch	  "web2"
00128:  C=301      7 L	      12 W	    178 Ch	  "test2"
00130:  C=301      7 L	      12 W	    178 Ch	  "ntp"
00122:  C=301      7 L	      12 W	    178 Ch	  "smtp2"
00129:  C=301      7 L	      12 W	    178 Ch	  "radio"
00131:  C=301      7 L	      12 W	    178 Ch	  "library"
00127:  C=301      7 L	      12 W	    178 Ch	  "service"
00119:  C=301      7 L	      12 W	    178 Ch	  "www.demo"
00121:  C=301      7 L	      12 W	    178 Ch	  "cn"
00117:  C=301      7 L	      12 W	    178 Ch	  "gw"
00125:  C=301      7 L	      12 W	    178 Ch	  "relay"
00123:  C=301      7 L	      12 W	    178 Ch	  "vps"
00118:  C=301      7 L	      12 W	    178 Ch	  "dns4"
00126:  C=301      7 L	      12 W	    178 Ch	  "online"
00120:  C=301      7 L	      12 W	    178 Ch	  "ssl"
00124:  C=301      7 L	      12 W	    178 Ch	  "ns6"
00116:  C=301      7 L	      12 W	    178 Ch	  "stage"
00115:  C=301      7 L	      12 W	    178 Ch	  "cdn"
00113:  C=301      7 L	      12 W	    178 Ch	  "blogs"
00111:  C=301      7 L	      12 W	    178 Ch	  "app"
00114:  C=301      7 L	      12 W	    178 Ch	  "it"
00112:  C=301      7 L	      12 W	    178 Ch	  "en"
00110:  C=301      7 L	      12 W	    178 Ch	  "login"
00109:  C=301      7 L	      12 W	    178 Ch	  "bbs"
00108:  C=301      7 L	      12 W	    178 Ch	  "home"
00100:  C=301      7 L	      12 W	    178 Ch	  "helpdesk"
00103:  C=301      7 L	      12 W	    178 Ch	  "newsletter"
00099:  C=301      7 L	      12 W	    178 Ch	  "monitor"
00107:  C=301      7 L	      12 W	    178 Ch	  "upload"
00102:  C=301      7 L	      12 W	    178 Ch	  "sms"
00097:  C=301      7 L	      12 W	    178 Ch	  "info"
00105:  C=301      7 L	      12 W	    178 Ch	  "web1"
00101:  C=301      7 L	      12 W	    178 Ch	  "panel"
00104:  C=301      7 L	      12 W	    178 Ch	  "ftp2"
00096:  C=301      7 L	      12 W	    178 Ch	  "files"
00093:  C=301      7 L	      12 W	    178 Ch	  "db"
00095:  C=301      7 L	      12 W	    178 Ch	  "live"
00162:  C=301      7 L	      12 W	    178 Ch	  "moodle"
00138:  C=301      7 L	      12 W	    178 Ch	  "hosting"
00132:  C=301      7 L	      12 W	    178 Ch	  "help"
00146:  C=301      7 L	      12 W	    178 Ch	  "www.mail"
00134:  C=301      7 L	      12 W	    178 Ch	  "members"
00176:  C=301      7 L	      12 W	    178 Ch	  "jobs"
00175:  C=301      7 L	      12 W	    178 Ch	  "games"
00174:  C=301      7 L	      12 W	    178 Ch	  "autodiscover.blog"
00173:  C=301      7 L	      12 W	    178 Ch	  "autoconfig.blog"
00172:  C=301      7 L	      12 W	    178 Ch	  "ts"
00169:  C=301      7 L	      12 W	    178 Ch	  "s2"
00168:  C=301      7 L	      12 W	    178 Ch	  "mrtg"
00170:  C=301      7 L	      12 W	    178 Ch	  "mailadmin"
00167:  C=301      7 L	      12 W	    178 Ch	  "nagios"
00171:  C=301      7 L	      12 W	    178 Ch	  "dev2"
00166:  C=301      7 L	      12 W	    178 Ch	  "partner"
00165:  C=301      7 L	      12 W	    178 Ch	  "photo"
00164:  C=301      7 L	      12 W	    178 Ch	  "test1"
00158:  C=301      7 L	      12 W	    178 Ch	  "av"
00160:  C=301      7 L	      12 W	    178 Ch	  "server1"
00161:  C=301      7 L	      12 W	    178 Ch	  "stat"
00159:  C=301      7 L	      12 W	    178 Ch	  "sftp"
00163:  C=301      7 L	      12 W	    178 Ch	  "facebook"
00157:  C=301      7 L	      12 W	    178 Ch	  "cs"
00150:  C=301      7 L	      12 W	    178 Ch	  "docs"
00153:  C=301      7 L	      12 W	    178 Ch	  "legacy"
00148:  C=301      7 L	      12 W	    178 Ch	  "c-n7k-v03-01.rz"
00155:  C=301      7 L	      12 W	    178 Ch	  "de"
00152:  C=301      7 L	      12 W	    178 Ch	  "ad"
00149:  C=301      7 L	      12 W	    178 Ch	  "data"
00156:  C=301      7 L	      12 W	    178 Ch	  "meet"
00151:  C=301      7 L	      12 W	    178 Ch	  "c-n7k-n04-01.rz"
00154:  C=301      7 L	      12 W	    178 Ch	  "router"
00145:  C=301      7 L	      12 W	    178 Ch	  "s"
00147:  C=301      7 L	      12 W	    178 Ch	  "www.new"
00144:  C=301      7 L	      12 W	    178 Ch	  "survey"
00137:  C=301      7 L	      12 W	    178 Ch	  "extranet"
00141:  C=301      7 L	      12 W	    178 Ch	  "webdisk.blog"
00143:  C=301      7 L	      12 W	    178 Ch	  "i"
00140:  C=301      7 L	      12 W	    178 Ch	  "services"
00142:  C=301      7 L	      12 W	    178 Ch	  "s1"
00139:  C=301      7 L	      12 W	    178 Ch	  "ldap"
00136:  C=301      7 L	      12 W	    178 Ch	  "www.shop"
00179:  C=301      7 L	      12 W	    178 Ch	  "gateway"
00183:  C=301      7 L	      12 W	    178 Ch	  "ssh"
00221:  C=301      7 L	      12 W	    178 Ch	  "music"
00133:  C=301      7 L	      12 W	    178 Ch	  "www4"
00135:  C=301      7 L	      12 W	    178 Ch	  "tv"
00207:  C=301      7 L	      12 W	    178 Ch	  "construtor"
00191:  C=301      7 L	      12 W	    178 Ch	  "webdisk.m"
00177:  C=301      7 L	      12 W	    178 Ch	  "image"
00220:  C=301      7 L	      12 W	    178 Ch	  "jabber"
00219:  C=301      7 L	      12 W	    178 Ch	  "manage"
00218:  C=301      7 L	      12 W	    178 Ch	  "dbadmin"
00213:  C=301      7 L	      12 W	    178 Ch	  "pgsql"
00215:  C=301      7 L	      12 W	    178 Ch	  "tools"
00217:  C=301      7 L	      12 W	    178 Ch	  "server2"
00214:  C=301      7 L	      12 W	    178 Ch	  "mail4"
00216:  C=301      7 L	      12 W	    178 Ch	  "iphone"
00211:  C=301      7 L	      12 W	    178 Ch	  "projects"
00212:  C=301      7 L	      12 W	    178 Ch	  "a"
00208:  C=301      7 L	      12 W	    178 Ch	  "lyncdiscover"
00205:  C=301      7 L	      12 W	    178 Ch	  "dl"
00202:  C=301      7 L	      12 W	    178 Ch	  "irc"
00210:  C=301      7 L	      12 W	    178 Ch	  "fr"
00209:  C=301      7 L	      12 W	    178 Ch	  "painel"
00203:  C=301      7 L	      12 W	    178 Ch	  "stream"
00204:  C=301      7 L	      12 W	    178 Ch	  "qa"
00206:  C=301      7 L	      12 W	    178 Ch	  "billing"
00201:  C=301      7 L	      12 W	    178 Ch	  "es"
00197:  C=301      7 L	      12 W	    178 Ch	  "lib"
00196:  C=301      7 L	      12 W	    178 Ch	  "access"
00193:  C=301      7 L	      12 W	    178 Ch	  "connect"
00200:  C=301      7 L	      12 W	    178 Ch	  "redmine"
00199:  C=301      7 L	      12 W	    178 Ch	  "gallery"
00194:  C=301      7 L	      12 W	    178 Ch	  "game"
00195:  C=301      7 L	      12 W	    178 Ch	  "smtp1"
00198:  C=301      7 L	      12 W	    178 Ch	  "www5"
00190:  C=301      7 L	      12 W	    178 Ch	  "citrix"
00192:  C=301      7 L	      12 W	    178 Ch	  "voip"
00189:  C=301      7 L	      12 W	    178 Ch	  "archive"
00188:  C=301      7 L	      12 W	    178 Ch	  "cloud"
00184:  C=301      7 L	      12 W	    178 Ch	  "correo"
00185:  C=301      7 L	      12 W	    178 Ch	  "control"
00187:  C=301      7 L	      12 W	    178 Ch	  "vpn2"
00182:  C=301      7 L	      12 W	    178 Ch	  "im"
00186:  C=301      7 L	      12 W	    178 Ch	  "ns0"
00181:  C=301      7 L	      12 W	    178 Ch	  "www.support"
00252:  C=301      7 L	      12 W	    178 Ch	  "testing"
00224:  C=301      7 L	      12 W	    178 Ch	  "mailer"
00265:  C=301      7 L	      12 W	    178 Ch	  "webdisk.test"
00180:  C=301      7 L	      12 W	    178 Ch	  "preview"
00228:  C=301      7 L	      12 W	    178 Ch	  "rss"
00266:  C=301      7 L	      12 W	    178 Ch	  "job"
00178:  C=301      7 L	      12 W	    178 Ch	  "host2"
00236:  C=301      7 L	      12 W	    178 Ch	  "web3"
00222:  C=301      7 L	      12 W	    178 Ch	  "webmail2"
00264:  C=301      7 L	      12 W	    178 Ch	  "catalog"
00263:  C=301      7 L	      12 W	    178 Ch	  "autodiscover.m"
00261:  C=301      7 L	      12 W	    178 Ch	  "autoconfig.m"
00258:  C=301      7 L	      12 W	    178 Ch	  "emkt"
00257:  C=301      7 L	      12 W	    178 Ch	  "webdisk.dev"
00259:  C=301      7 L	      12 W	    178 Ch	  "training"
00262:  C=301      7 L	      12 W	    178 Ch	  "git"
00260:  C=301      7 L	      12 W	    178 Ch	  "edu"
00256:  C=301      7 L	      12 W	    178 Ch	  "member"
00248:  C=301      7 L	      12 W	    178 Ch	  "alpha"
00253:  C=301      7 L	      12 W	    178 Ch	  "sharepoint"
00246:  C=301      7 L	      12 W	    178 Ch	  "cacti"
00254:  C=301      7 L	      12 W	    178 Ch	  "marketing"
00250:  C=301      7 L	      12 W	    178 Ch	  "ns7"
00247:  C=301      7 L	      12 W	    178 Ch	  "s3"
00255:  C=301      7 L	      12 W	    178 Ch	  "sitedefender"
00249:  C=301      7 L	      12 W	    178 Ch	  "videos"
00251:  C=301      7 L	      12 W	    178 Ch	  "promo"
00245:  C=301      7 L	      12 W	    178 Ch	  "vip"
00243:  C=301      7 L	      12 W	    178 Ch	  "sp"
00244:  C=301      7 L	      12 W	    178 Ch	  "panelstats"
00238:  C=301      7 L	      12 W	    178 Ch	  "poczta"
00239:  C=301      7 L	      12 W	    178 Ch	  "www.mobile"
00241:  C=301      7 L	      12 W	    178 Ch	  "dialin"
00242:  C=301      7 L	      12 W	    178 Ch	  "us"
00240:  C=301      7 L	      12 W	    178 Ch	  "ftp1"
00235:  C=301      7 L	      12 W	    178 Ch	  "sv"
00237:  C=301      7 L	      12 W	    178 Ch	  "community"
00234:  C=301      7 L	      12 W	    178 Ch	  "content"
00233:  C=301      7 L	      12 W	    178 Ch	  "ws"
00232:  C=301      7 L	      12 W	    178 Ch	  "www.webmail"
00231:  C=301      7 L	      12 W	    178 Ch	  "mx3"
00226:  C=301      7 L	      12 W	    178 Ch	  "t"
00227:  C=301      7 L	      12 W	    178 Ch	  "reports"
00229:  C=301      7 L	      12 W	    178 Ch	  "pgadmin"
00230:  C=301      7 L	      12 W	    178 Ch	  "images2"
00223:  C=301      7 L	      12 W	    178 Ch	  "www.beta"
00273:  C=301      7 L	      12 W	    178 Ch	  "downloads"
00281:  C=301      7 L	      12 W	    178 Ch	  "mailserver"
00311:  C=301      7 L	      12 W	    178 Ch	  "pay"
00225:  C=301      7 L	      12 W	    178 Ch	  "phpmyadmin"
00267:  C=301      7 L	      12 W	    178 Ch	  "ww2"
00312:  C=301      7 L	      12 W	    178 Ch	  "file"
00297:  C=301      7 L	      12 W	    178 Ch	  "images1"
00269:  C=301      7 L	      12 W	    178 Ch	  "sandbox"
00310:  C=301      7 L	      12 W	    178 Ch	  "gate"
00306:  C=301      7 L	      12 W	    178 Ch	  "zeus"
00305:  C=301      7 L	      12 W	    178 Ch	  "streaming"
00302:  C=301      7 L	      12 W	    178 Ch	  "devel"
00309:  C=301      7 L	      12 W	    178 Ch	  "img2"
00308:  C=301      7 L	      12 W	    178 Ch	  "adm"
00303:  C=301      7 L	      12 W	    178 Ch	  "local"
00304:  C=301      7 L	      12 W	    178 Ch	  "wp"
00307:  C=301      7 L	      12 W	    178 Ch	  "images3"
00301:  C=301      7 L	      12 W	    178 Ch	  "fw"
00300:  C=301      7 L	      12 W	    178 Ch	  "update"
00299:  C=301      7 L	      12 W	    178 Ch	  "business"
00296:  C=301      7 L	      12 W	    178 Ch	  "list"
00292:  C=301      7 L	      12 W	    178 Ch	  "jira"
00294:  C=301      7 L	      12 W	    178 Ch	  "partners"
00298:  C=301      7 L	      12 W	    178 Ch	  "club"
00293:  C=301      7 L	      12 W	    178 Ch	  "ns8"
00295:  C=301      7 L	      12 W	    178 Ch	  "ml"
00291:  C=301      7 L	      12 W	    178 Ch	  "auth"
00290:  C=301      7 L	      12 W	    178 Ch	  "www.admin"
00289:  C=301      7 L	      12 W	    178 Ch	  "sitebuilder"
00288:  C=301      7 L	      12 W	    178 Ch	  "alumni"
00287:  C=301      7 L	      12 W	    178 Ch	  "tickets"
00280:  C=301      7 L	      12 W	    178 Ch	  "db1"
00284:  C=301      7 L	      12 W	    178 Ch	  "mirror"
00286:  C=301      7 L	      12 W	    178 Ch	  "sso"
00283:  C=301      7 L	      12 W	    178 Ch	  "travel"
00285:  C=301      7 L	      12 W	    178 Ch	  "ca"
